city,action,score
Santa Vitória,Electric Vehicle Charging,90
Santa Vitória,Small-Scale Biogas Plants,82
Santa Vitória,Trail Restoration,80
Santa Vitória,Mangrove Restoration,77
Santa Vitória,Urban Tree Planting,69
Santa Vitória,Urban Cooling Centers,65
Santa Vitória,Sustainable Fisheries,65
Santa Vitória,Solar-Powered Street Lighting,65
Santa Vitória,Smart Grid Technology,60
Santa Vitória,Zero Waste Initiative,60
Santa Vitória,Coastal Wetland Preservation,60
Santa Vitória,Bicycle Infrastructure,60
Santa Vitória,Eco-Tourism Development,60
Santa Vitória,Coastal Flood Defense,58
Santa Vitória,Bike lanes,57
Santa Vitória,Shared Electric Vehicle Fleet,57
Santa Vitória,Seawater Desalination,55
Santa Vitória,Wetland Restoration,53
Santa Vitória,Offshore Wind Farms,53
Santa Vitória,Coastal Wetland Creation,47
Santa Vitória,Green Roofs,45
Santa Vitória,Carbon Capture,45
Santa Vitória,Rainwater Harvesting Systems,45
Santa Vitória,Flood-Resilient Infrastructure,45
Santa Vitória,Solar-Powered Water Pumps,45
Santa Vitória,Community Wind Projects,44
Santa Vitória,Urban Vertical Farming,43
Santa Vitória,Small-scale Wind Turbines,43
Santa Vitória,Renewable Energy Integration,43
Santa Vitória,Solar Water Heaters,42
Santa Vitória,Urban Green Spaces,42
Santa Vitória,Drought-Resistant Crops,42
Santa Vitória,Community Solar Power,40
Santa Vitória,Mountain Eco-Tourism,40
Santa Vitória,Urban Garden Initiatives,39
Santa Vitória,Energy-Efficient Wood Stoves,36
Santa Vitória,Reforestation of Mountain Slopes,35
Santa Vitória,Climate Education,33
Santa Vitória,Coral Reef Protection,33
Santa Vitória,Rainwater Harvesting,32
Santa Vitória,Local Food Production,32
Santa Vitória,Waste-to-Energy Plants,30
Santa Vitória,Community Composting,30
Santa Vitória,Heat Island Mitigation,28
Santa Vitória,Local Seed Banks,26
Santa Vitória,Water Recycling,25
Santa Vitória,Sustainable Agriculture,25
Santa Vitória,Microgrids for Resilience,25
Santa Vitória,Micro-Hydro Projects,25
Santa Vitória,Flood Barriers,20
Santa Vitória,Energy Audits,20
Santa Vitória,Wind Energy Farms,18
Santa Vitória,Mountain Agriculture,17
Santa Vitória,Cool Roofs,16
Santa Vitória,Heat Pump Installations,15
Santa Vitória,Water Conservation,10
Santa Vitória,Climate Resilient Infrastructure,10
Santa Vitória,Sea-Level Rise Adaptation,10
Santa Vitória,Avalanche Barriers,10
Santa Vitória,Sustainable Grazing Practices,9
Santa Vitória,Water-Efficient Irrigation,5
Santa Vitória,Sea wall,0
Santa Vitória,Solar Panels,0
Santa Vitória,Electric Bus Fleet,0
Santa Vitória,Community Solar Gardens,0
Santa Vitória,Energy Efficient Lighting,0
Santa Vitória,Reforestation Program,0
Santa Vitória,Public Transport Expansion,0
Santa Vitória,Renewable Energy Mix,0
Santa Vitória,Afforestation Projects,0
Santa Vitória,Circular Economy Model,0
Santa Vitória,Low Carbon Transportation,0
Santa Vitória,Coastal Erosion Control,0
Santa Vitória,Beach Nourishment,0
Santa Vitória,Energy Efficient Retrofits,0
Santa Vitória,Community Composting,0
Santa Vitória,Forest Management Programs,0
Santa Vitória,Local Energy Cooperatives,0
Santa Vitória,Efficient Wood Stoves,0
Santa Vitória,Small Hydropower Stations,0
Santa Vitória,Landslide Early Warning System,0
Santa Vitória,Snow Management Practices,0
Santa Vitória,Glacier Monitoring,0
